#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1.jpg,306711,{},3,0,"{'name': 'rect', 'x': 912, 'y': 1331, 'width': 108, 'height': 108}",L_stick
1.jpg,306711,{},3,1,"{'name': 'rect', 'x': 1076, 'y': 1201, 'width': 65, 'height': 72}",nail
1.jpg,306711,{},3,2,"{'name': 'rect', 'x': 914, 'y': 934, 'width': 82, 'height': 76}",clip_B
2.jpg,115101,{},4,0,"{'name': 'rect', 'x': 1379, 'y': 867, 'width': 46, 'height': 54}",clip_B
2.jpg,115101,{},4,1,"{'name': 'rect', 'x': 1436, 'y': 975, 'width': 59, 'height': 49}",nail
2.jpg,115101,{},4,2,"{'name': 'rect', 'x': 1506, 'y': 1066, 'width': 38, 'height': 33}",clip_Y
2.jpg,115101,{},4,3,"{'name': 'rect', 'x': 1604, 'y': 1128, 'width': 92, 'height': 92}",L_stick
3.jpg,130567,{},4,0,"{'name': 'rect', 'x': 1474, 'y': 586, 'width': 23, 'height': 28}",foreign
3.jpg,130567,{},4,1,"{'name': 'rect', 'x': 1525, 'y': 437, 'width': 53, 'height': 31}",nail
3.jpg,130567,{},4,2,"{'name': 'rect', 'x': 1650, 'y': 481, 'width': 94, 'height': 28}",L_stick
3.jpg,130567,{},4,3,"{'name': 'rect', 'x': 1976, 'y': 504, 'width': 53, 'height': 51}",clip_B
4.jpg,102857,{},2,0,"{'name': 'rect', 'x': 216, 'y': 210, 'width': 62, 'height': 80}",nail
4.jpg,102857,{},2,1,"{'name': 'rect', 'x': 59, 'y': 269, 'width': 59, 'height': 70}",clip_B
5.jpg,114649,{},4,0,"{'name': 'rect', 'x': 1373, 'y': 870, 'width': 54, 'height': 49}",clip_B
5.jpg,114649,{},4,1,"{'name': 'rect', 'x': 1430, 'y': 971, 'width': 61, 'height': 55}",nail
5.jpg,114649,{},4,2,"{'name': 'rect', 'x': 1498, 'y': 1058, 'width': 48, 'height': 45}",clip_Y
5.jpg,114649,{},4,3,"{'name': 'rect', 'x': 1595, 'y': 1130, 'width': 101, 'height': 90}",L_stick
6.jpg,125673,{},3,0,"{'name': 'rect', 'x': 1650, 'y': 459, 'width': 100, 'height': 52}",L_stick
6.jpg,125673,{},3,1,"{'name': 'rect', 'x': 1523, 'y': 437, 'width': 55, 'height': 31}",nail
6.jpg,125673,{},3,2,"{'name': 'rect', 'x': 1976, 'y': 506, 'width': 63, 'height': 47}",clip_B
7.jpg,100388,{},3,0,"{'name': 'rect', 'x': 57, 'y': 265, 'width': 63, 'height': 86}",clip_B
7.jpg,100388,{},3,1,"{'name': 'rect', 'x': 208, 'y': 204, 'width': 72, 'height': 84}",nail
7.jpg,100388,{},3,2,"{'name': 'rect', 'x': 299, 'y': 449, 'width': 50, 'height': 47}",clip_Y
8.jpg,96536,{},4,0,"{'name': 'rect', 'x': 1371, 'y': 635, 'width': 52, 'height': 60}",clip_B
8.jpg,96536,{},4,1,"{'name': 'rect', 'x': 1428, 'y': 734, 'width': 61, 'height': 58}",nail
8.jpg,96536,{},4,2,"{'name': 'rect', 'x': 1502, 'y': 829, 'width': 30, 'height': 37}",foreign
8.jpg,96536,{},4,3,"{'name': 'rect', 'x': 1591, 'y': 898, 'width': 103, 'height': 88}",L_stick
9.jpg,116792,{},2,0,"{'name': 'rect', 'x': 1648, 'y': 475, 'width': 104, 'height': 34}",L_stick
9.jpg,116792,{},2,1,"{'name': 'rect', 'x': 1974, 'y': 504, 'width': 53, 'height': 51}",clip_B
10.jpg,70347,{},3,0,"{'name': 'rect', 'x': 823, 'y': 471, 'width': 43, 'height': 48}",clip_Y
10.jpg,70347,{},3,1,"{'name': 'rect', 'x': 726, 'y': 237, 'width': 70, 'height': 77}",nail
10.jpg,70347,{},3,2,"{'name': 'rect', 'x': 574, 'y': 309, 'width': 62, 'height': 70}",clip_B
11.jpg,85031,{},1,0,"{'name': 'rect', 'x': 1535, 'y': 837, 'width': 112, 'height': 98}",L_stick
12.jpg,228783,{},2,0,"{'name': 'rect', 'x': 817, 'y': 1236, 'width': 108, 'height': 104}",clip_B
12.jpg,228783,{},2,1,"{'name': 'rect', 'x': 2212, 'y': 1199, 'width': 52, 'height': 108}",nail
13.jpg,99623,{},3,0,"{'name': 'rect', 'x': 1521, 'y': 431, 'width': 49, 'height': 33}",nail
13.jpg,99623,{},3,1,"{'name': 'rect', 'x': 1646, 'y': 473, 'width': 94, 'height': 38}",L_stick
13.jpg,99623,{},3,2,"{'name': 'rect', 'x': 1974, 'y': 499, 'width': 63, 'height': 48}",clip_B
14.jpg,105241,{},3,0,"{'name': 'rect', 'x': 572, 'y': 295, 'width': 60, 'height': 78}",clip_B
14.jpg,105241,{},3,1,"{'name': 'rect', 'x': 724, 'y': 237, 'width': 64, 'height': 77}",nail
14.jpg,105241,{},3,2,"{'name': 'rect', 'x': 815, 'y': 475, 'width': 51, 'height': 48}",clip_Y
15.jpg,89969,{},3,0,"{'name': 'rect', 'x': 1292, 'y': 599, 'width': 64, 'height': 53}",nail
15.jpg,89969,{},3,1,"{'name': 'rect', 'x': 1365, 'y': 690, 'width': 37, 'height': 41}",clip_Y
15.jpg,89969,{},3,2,"{'name': 'rect', 'x': 1452, 'y': 752, 'width': 102, 'height': 96}",L_stick
16.jpg,115709,{},3,0,"{'name': 'rect', 'x': 1450, 'y': 574, 'width': 31, 'height': 24}",foreign
16.jpg,115709,{},3,1,"{'name': 'rect', 'x': 1523, 'y': 439, 'width': 53, 'height': 29}",nail
16.jpg,115709,{},3,2,"{'name': 'rect', 'x': 1646, 'y': 473, 'width': 100, 'height': 38}",L_stick
17.jpg,59304,{},3,0,"{'name': 'rect', 'x': 965, 'y': 307, 'width': 63, 'height': 80}",clip_B
17.jpg,59304,{},3,1,"{'name': 'rect', 'x': 1124, 'y': 245, 'width': 66, 'height': 78}",nail
17.jpg,59304,{},3,2,"{'name': 'rect', 'x': 1223, 'y': 485, 'width': 46, 'height': 40}",clip_Y
18.jpg,112136,{},2,0,"{'name': 'rect', 'x': 1292, 'y': 601, 'width': 62, 'height': 57}",nail
18.jpg,112136,{},2,1,"{'name': 'rect', 'x': 1504, 'y': 791, 'width': 52, 'height': 57}",L_stick
19.jpg,125011,{},3,0,"{'name': 'rect', 'x': 1450, 'y': 562, 'width': 31, 'height': 34}",foreign
19.jpg,125011,{},3,1,"{'name': 'rect', 'x': 1529, 'y': 439, 'width': 45, 'height': 29}",nail
19.jpg,125011,{},3,2,"{'name': 'rect', 'x': 1650, 'y': 461, 'width': 96, 'height': 44}",L_stick
20.jpg,91828,{},4,0,"{'name': 'rect', 'x': 973, 'y': 317, 'width': 61, 'height': 66}",clip_B
20.jpg,91828,{},4,1,"{'name': 'rect', 'x': 1122, 'y': 243, 'width': 70, 'height': 73}",nail
20.jpg,91828,{},4,2,"{'name': 'rect', 'x': 1161, 'y': 647, 'width': 142, 'height': 31}",foreign
20.jpg,91828,{},4,3,"{'name': 'rect', 'x': 1225, 'y': 479, 'width': 48, 'height': 54}",clip_Y
21.jpg,116961,{},2,0,"{'name': 'rect', 'x': 1298, 'y': 603, 'width': 54, 'height': 51}",nail
21.jpg,116961,{},2,1,"{'name': 'rect', 'x': 1482, 'y': 768, 'width': 74, 'height': 82}",L_stick
22.jpg,111686,{},4,0,"{'name': 'rect', 'x': 1452, 'y': 562, 'width': 31, 'height': 42}",foreign
22.jpg,111686,{},4,1,"{'name': 'rect', 'x': 1525, 'y': 439, 'width': 59, 'height': 33}",nail
22.jpg,111686,{},4,2,"{'name': 'rect', 'x': 1492, 'y': 544, 'width': 48, 'height': 45}",clip_B
22.jpg,111686,{},4,3,"{'name': 'rect', 'x': 1649, 'y': 472, 'width': 96, 'height': 41}",L_stick
23.jpg,278503,{},4,0,"{'name': 'rect', 'x': 649, 'y': 439, 'width': 46, 'height': 126}",L_stick
23.jpg,278503,{},4,1,"{'name': 'rect', 'x': 853, 'y': 554, 'width': 46, 'height': 55}",clip_Y
23.jpg,278503,{},4,2,"{'name': 'rect', 'x': 940, 'y': 922, 'width': 88, 'height': 62}",nail
23.jpg,278503,{},4,3,"{'name': 'rect', 'x': 1114, 'y': 936, 'width': 64, 'height': 70}",clip_B
24.jpg,62244,{},4,0,"{'name': 'rect', 'x': 1219, 'y': 938, 'width': 94, 'height': 129}",L_stick
24.jpg,62244,{},4,1,"{'name': 'rect', 'x': 1225, 'y': 827, 'width': 50, 'height': 50}",clip_Y
24.jpg,62244,{},4,2,"{'name': 'rect', 'x': 975, 'y': 657, 'width': 61, 'height': 80}",clip_B
24.jpg,62244,{},4,3,"{'name': 'rect', 'x': 1124, 'y': 592, 'width': 72, 'height': 78}",nail
25.jpg,93301,{},4,0,"{'name': 'rect', 'x': 1450, 'y': 564, 'width': 31, 'height': 34}",foreign
25.jpg,93301,{},4,1,"{'name': 'rect', 'x': 1490, 'y': 540, 'width': 50, 'height': 47}",clip_B
25.jpg,93301,{},4,2,"{'name': 'rect', 'x': 1523, 'y': 437, 'width': 57, 'height': 31}",nail
25.jpg,93301,{},4,3,"{'name': 'rect', 'x': 1650, 'y': 465, 'width': 102, 'height': 42}",L_stick
26.jpg,117910,{},4,0,"{'name': 'rect', 'x': 1215, 'y': 954, 'width': 102, 'height': 133}",L_stick
26.jpg,117910,{},4,1,"{'name': 'rect', 'x': 1225, 'y': 841, 'width': 50, 'height': 48}",clip_Y
26.jpg,117910,{},4,2,"{'name': 'rect', 'x': 971, 'y': 671, 'width': 65, 'height': 76}",clip_B
26.jpg,117910,{},4,3,"{'name': 'rect', 'x': 1122, 'y': 601, 'width': 72, 'height': 83}",nail
27.jpg,124982,{},4,0,"{'name': 'rect', 'x': 1450, 'y': 560, 'width': 35, 'height': 33}",foreign
27.jpg,124982,{},4,1,"{'name': 'rect', 'x': 1492, 'y': 534, 'width': 48, 'height': 53}",clip_B
27.jpg,124982,{},4,2,"{'name': 'rect', 'x': 1527, 'y': 429, 'width': 53, 'height': 43}",nail
27.jpg,124982,{},4,3,"{'name': 'rect', 'x': 1648, 'y': 467, 'width': 98, 'height': 42}",L_stick
28.jpg,92430,{},4,0,"{'name': 'rect', 'x': 958, 'y': 659, 'width': 64, 'height': 94}",clip_B
28.jpg,92430,{},4,1,"{'name': 'rect', 'x': 1122, 'y': 599, 'width': 70, 'height': 81}",nail
28.jpg,92430,{},4,2,"{'name': 'rect', 'x': 1213, 'y': 967, 'width': 108, 'height': 138}",L_stick
28.jpg,92430,{},4,3,"{'name': 'rect', 'x': 1221, 'y': 847, 'width': 56, 'height': 50}",clip_Y
29.jpg,125180,{},4,0,"{'name': 'rect', 'x': 1452, 'y': 560, 'width': 29, 'height': 31}",foreign
29.jpg,125180,{},4,1,"{'name': 'rect', 'x': 1490, 'y': 528, 'width': 50, 'height': 59}",clip_B
29.jpg,125180,{},4,2,"{'name': 'rect', 'x': 1525, 'y': 429, 'width': 51, 'height': 35}",nail
29.jpg,125180,{},4,3,"{'name': 'rect', 'x': 1648, 'y': 467, 'width': 98, 'height': 38}",L_stick
30.jpg,65149,{},4,0,"{'name': 'rect', 'x': 1098, 'y': 566, 'width': 78, 'height': 94}",nail
30.jpg,65149,{},4,1,"{'name': 'rect', 'x': 1223, 'y': 857, 'width': 56, 'height': 64}",clip_Y
30.jpg,65149,{},4,2,"{'name': 'rect', 'x': 1213, 'y': 1003, 'width': 110, 'height': 155}",L_stick
30.jpg,65149,{},4,3,"{'name': 'rect', 'x': 910, 'y': 643, 'width': 74, 'height': 92}",clip_B
31.jpg,81447,{},4,0,"{'name': 'rect', 'x': 1444, 'y': 683, 'width': 43, 'height': 42}",foreign
31.jpg,81447,{},4,1,"{'name': 'rect', 'x': 1523, 'y': 560, 'width': 53, 'height': 33}",nail
31.jpg,81447,{},4,2,"{'name': 'rect', 'x': 1646, 'y': 590, 'width': 104, 'height': 38}",L_stick
31.jpg,81447,{},4,3,"{'name': 'rect', 'x': 1492, 'y': 659, 'width': 48, 'height': 50}",clip_B
32.jpg,73458,{},3,0,"{'name': 'rect', 'x': 1096, 'y': 564, 'width': 82, 'height': 94}",nail
32.jpg,73458,{},3,1,"{'name': 'rect', 'x': 904, 'y': 641, 'width': 74, 'height': 94}",clip_B
32.jpg,73458,{},3,2,"{'name': 'rect', 'x': 1254, 'y': 793, 'width': 47, 'height': 43}",foreign
33.jpg,123940,{},4,0,"{'name': 'rect', 'x': 1450, 'y': 688, 'width': 35, 'height': 33}",foreign
33.jpg,123940,{},4,1,"{'name': 'rect', 'x': 1525, 'y': 550, 'width': 51, 'height': 37}",nail
33.jpg,123940,{},4,2,"{'name': 'rect', 'x': 1490, 'y': 657, 'width': 54, 'height': 52}",clip_B
33.jpg,123940,{},4,3,"{'name': 'rect', 'x': 1646, 'y': 595, 'width': 108, 'height': 35}",L_stick
34.jpg,253239,{},4,0,"{'name': 'rect', 'x': 922, 'y': 928, 'width': 78, 'height': 92}",clip_B
34.jpg,253239,{},4,1,"{'name': 'rect', 'x': 1064, 'y': 1193, 'width': 86, 'height': 92}",nail
34.jpg,253239,{},4,2,"{'name': 'rect', 'x': 1268, 'y': 1302, 'width': 49, 'height': 54}",clip_Y
34.jpg,253239,{},4,3,"{'name': 'rect', 'x': 906, 'y': 1327, 'width': 108, 'height': 112}",L_stick
35.jpg,122311,{},2,0,"{'name': 'rect', 'x': 1523, 'y': 560, 'width': 53, 'height': 33}",nail
35.jpg,122311,{},2,1,"{'name': 'rect', 'x': 1648, 'y': 597, 'width': 106, 'height': 37}",L_stick
36.jpg,132297,{},1,0,"{'name': 'rect', 'x': 1646, 'y': 590, 'width': 102, 'height': 38}",L_stick
37.jpg,83571,{},1,0,"{'name': 'rect', 'x': 1179, 'y': 605, 'width': 96, 'height': 108}",clip_B
38.jpg,90336,{},2,0,"{'name': 'rect', 'x': 1177, 'y': 599, 'width': 96, 'height': 118}",clip_B
38.jpg,90336,{},2,1,"{'name': 'rect', 'x': 1765, 'y': 344, 'width': 100, 'height': 94}",nail
39.jpg,87857,{},2,0,"{'name': 'rect', 'x': 1175, 'y': 603, 'width': 108, 'height': 114}",clip_B
39.jpg,87857,{},2,1,"{'name': 'rect', 'x': 1848, 'y': 135, 'width': 52, 'height': 56}",clip_Y
40.jpg,87677,{},2,0,"{'name': 'rect', 'x': 1846, 'y': 138, 'width': 48, 'height': 45}",clip_Y
40.jpg,87677,{},2,1,"{'name': 'rect', 'x': 2129, 'y': 556, 'width': 113, 'height': 163}",L_stick
41.jpg,61243,{},3,0,"{'name': 'rect', 'x': 1769, 'y': 340, 'width': 96, 'height': 98}",nail
41.jpg,61243,{},3,1,"{'name': 'rect', 'x': 1846, 'y': 129, 'width': 56, 'height': 64}",clip_Y
41.jpg,61243,{},3,2,"{'name': 'rect', 'x': 2121, 'y': 560, 'width': 129, 'height': 157}",L_stick
42.jpg,76580,{},4,0,"{'name': 'rect', 'x': 1773, 'y': 346, 'width': 96, 'height': 100}",nail
42.jpg,76580,{},4,1,"{'name': 'rect', 'x': 1963, 'y': 683, 'width': 107, 'height': 103}",clip_B
42.jpg,76580,{},4,2,"{'name': 'rect', 'x': 1848, 'y': 140, 'width': 56, 'height': 55}",clip_Y
42.jpg,76580,{},4,3,"{'name': 'rect', 'x': 2129, 'y': 564, 'width': 121, 'height': 161}",L_stick
43.jpg,89479,{},4,0,"{'name': 'rect', 'x': 1850, 'y': 131, 'width': 50, 'height': 64}",clip_Y
43.jpg,89479,{},4,1,"{'name': 'rect', 'x': 1773, 'y': 344, 'width': 96, 'height': 100}",nail
43.jpg,89479,{},4,2,"{'name': 'rect', 'x': 2123, 'y': 554, 'width': 119, 'height': 171}",L_stick
43.jpg,89479,{},4,3,"{'name': 'rect', 'x': 1968, 'y': 683, 'width': 102, 'height': 101}",clip_B
44.jpg,95545,{},4,0,"{'name': 'rect', 'x': 1846, 'y': 127, 'width': 54, 'height': 64}",clip_Y
44.jpg,95545,{},4,1,"{'name': 'rect', 'x': 1775, 'y': 350, 'width': 96, 'height': 88}",nail
44.jpg,95545,{},4,2,"{'name': 'rect', 'x': 1974, 'y': 688, 'width': 96, 'height': 92}",clip_B
44.jpg,95545,{},4,3,"{'name': 'rect', 'x': 2131, 'y': 564, 'width': 115, 'height': 155}",L_stick
45.jpg,161622,{},3,0,"{'name': 'rect', 'x': 815, 'y': 1236, 'width': 108, 'height': 112}",clip_B
45.jpg,161622,{},3,1,"{'name': 'rect', 'x': 2202, 'y': 1199, 'width': 62, 'height': 112}",nail
45.jpg,161622,{},3,2,"{'name': 'rect', 'x': 1891, 'y': 768, 'width': 53, 'height': 52}",clip_Y
46.jpg,61132,{},4,0,"{'name': 'rect', 'x': 1470, 'y': 142, 'width': 50, 'height': 53}",clip_Y
46.jpg,61132,{},4,1,"{'name': 'rect', 'x': 1389, 'y': 346, 'width': 100, 'height': 98}",nail
46.jpg,61132,{},4,2,"{'name': 'rect', 'x': 1585, 'y': 688, 'width': 106, 'height': 106}",clip_B
46.jpg,61132,{},4,3,"{'name': 'rect', 'x': 1741, 'y': 568, 'width': 128, 'height': 165}",L_stick
47.jpg,91160,{},4,0,"{'name': 'rect', 'x': 1331, 'y': 131, 'width': 55, 'height': 70}",clip_Y
47.jpg,91160,{},4,1,"{'name': 'rect', 'x': 1260, 'y': 352, 'width': 92, 'height': 92}",nail
47.jpg,91160,{},4,2,"{'name': 'rect', 'x': 1440, 'y': 698, 'width': 106, 'height': 88}",clip_B
